epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,666.856,0.97297,0.71376,1.30838,0.78683,0.71536,0.76584,0.55838,1.08972,0.88587,1.48868,0.000660045,0.000660045,0.000660045
43,680.674,0.95125,0.68878,1.29619,0.82408,0.7206,0.76945,0.57186,1.07557,0.84462,1.46447,0.000649046,0.000649046,0.000649046
44,694.269,0.93516,0.69588,1.28804,0.80531,0.73805,0.78282,0.57949,1.07427,0.84398,1.44825,0.000638047,0.000638047,0.000638047
45,708.668,0.94061,0.68456,1.28025,0.78338,0.73621,0.77481,0.57677,1.06561,0.84036,1.44089,0.000627048,0.000627048,0.000627048
46,722.567,0.93057,0.67509,1.27868,0.76948,0.76053,0.79171,0.58303,1.08035,0.85541,1.45738,0.000616049,0.000616049,0.000616049
47,736.181,0.93998,0.67662,1.2811,0.79065,0.72266,0.7794,0.58477,1.05525,0.81553,1.44444,0.000605051,0.000605051,0.000605051
48,750.386,0.90995,0.65813,1.26717,0.78113,0.71492,0.77038,0.5733,1.05245,0.82606,1.44018,0.000594052,0.000594052,0.000594052
49,767.103,0.91576,0.66694,1.26552,0.78445,0.72857,0.7785,0.5791,1.06345,0.81987,1.43995,0.000583053,0.000583053,0.000583053
50,784.352,0.92094,0.65094,1.26792,0.84353,0.74156,0.80029,0.59867,1.04379,0.80835,1.42527,0.000572054,0.000572054,0.000572054
51,801.39,0.93356,0.67782,1.2794,0.79212,0.77899,0.80798,0.60546,1.02284,0.78186,1.40884,0.000561055,0.000561055,0.000561055
52,818.515,0.90684,0.65251,1.25592,0.8862,0.73279,0.80175,0.59179,1.06,0.81891,1.42942,0.000550056,0.000550056,0.000550056
53,832.136,0.92017,0.65734,1.26536,0.79457,0.76406,0.7878,0.59841,1.02169,0.77258,1.41384,0.000539057,0.000539057,0.000539057
54,845.759,0.9196,0.65743,1.26839,0.79858,0.75494,0.79048,0.59851,1.03375,0.78718,1.40864,0.000528058,0.000528058,0.000528058
55,859.315,0.89357,0.63391,1.24739,0.79136,0.76592,0.79346,0.59342,1.03334,0.77707,1.39851,0.000517059,0.000517059,0.000517059
56,872.925,0.89498,0.63631,1.24272,0.84751,0.72461,0.79316,0.6,1.02026,0.78079,1.40054,0.00050606,0.00050606,0.00050606
57,887.037,0.88921,0.62723,1.24511,0.77531,0.76106,0.78281,0.58454,1.03005,0.78325,1.40794,0.000495062,0.000495062,0.000495062
58,905.55,0.89259,0.62791,1.23744,0.80288,0.75699,0.80727,0.60769,1.01019,0.76101,1.39029,0.000484063,0.000484063,0.000484063
59,922.467,0.88625,0.62445,1.24385,0.7995,0.79316,0.81022,0.60563,1.0181,0.75385,1.40174,0.000473064,0.000473064,0.000473064
60,939.263,0.88231,0.62383,1.24257,0.80278,0.75139,0.79795,0.60066,0.99926,0.74493,1.38037,0.000462065,0.000462065,0.000462065
61,955.747,0.87824,0.6011,1.21767,0.81658,0.76819,0.80798,0.6138,1.0095,0.7569,1.38914,0.000451066,0.000451066,0.000451066
62,969.444,0.88809,0.62173,1.23452,0.863,0.7417,0.80557,0.6088,0.98752,0.73723,1.36433,0.000440067,0.000440067,0.000440067
63,983.33,0.87067,0.60434,1.22573,0.84394,0.78956,0.82231,0.61721,0.98582,0.75006,1.36676,0.000429068,0.000429068,0.000429068
64,1000.72,0.8683,0.61171,1.22198,0.8637,0.75885,0.82616,0.62911,0.97899,0.72405,1.36941,0.000418069,0.000418069,0.000418069
65,1017.7,0.87793,0.60821,1.23599,0.83605,0.77359,0.81191,0.61474,1.00395,0.7385,1.3831,0.00040707,0.00040707,0.00040707
66,1034.11,0.86728,0.59461,1.21092,0.86894,0.77697,0.82712,0.62823,0.99191,0.72833,1.37713,0.000396071,0.000396071,0.000396071
67,1050.35,0.85535,0.58492,1.21947,0.78299,0.79706,0.81834,0.61687,1.01121,0.72176,1.38871,0.000385073,0.000385073,0.000385073
68,1066.71,0.8627,0.59688,1.21908,0.78058,0.79487,0.81137,0.61763,1.00056,0.73183,1.38759,0.000374074,0.000374074,0.000374074
69,1083.2,0.84092,0.57161,1.19838,0.78065,0.79882,0.82065,0.62467,0.97092,0.71316,1.35235,0.000363075,0.000363075,0.000363075
70,1099.82,0.85547,0.57908,1.20352,0.82584,0.78678,0.82258,0.62484,0.97144,0.70976,1.35584,0.000352076,0.000352076,0.000352076
71,1118.46,0.83415,0.56642,1.20422,0.81719,0.79332,0.82233,0.62595,0.97076,0.70748,1.35199,0.000341077,0.000341077,0.000341077
72,1133.73,0.82761,0.56554,1.19033,0.85935,0.77567,0.82479,0.62745,0.96706,0.69745,1.34886,0.000330078,0.000330078,0.000330078
73,1147.25,0.84059,0.57432,1.20149,0.82828,0.79684,0.82997,0.63765,0.96682,0.68114,1.35183,0.000319079,0.000319079,0.000319079
74,1160.75,0.82855,0.57179,1.19835,0.84059,0.79201,0.83161,0.63375,0.9516,0.69893,1.33954,0.00030808,0.00030808,0.00030808
75,1174.3,0.82672,0.56809,1.199,0.87504,0.76053,0.82508,0.63654,0.94795,0.689,1.33793,0.000297081,0.000297081,0.000297081
76,1187.84,0.82722,0.55566,1.19485,0.87501,0.76704,0.83564,0.639,0.9718,0.68308,1.35033,0.000286083,0.000286083,0.000286083
77,1201.54,0.83166,0.56817,1.19377,0.86927,0.79936,0.84213,0.64519,0.95824,0.681,1.34513,0.000275084,0.000275084,0.000275084
78,1215.14,0.82353,0.55567,1.1861,0.87903,0.79272,0.84155,0.63588,0.96732,0.68251,1.34674,0.000264085,0.000264085,0.000264085
79,1228.68,0.81742,0.54743,1.17541,0.85265,0.80602,0.84023,0.63702,0.9681,0.68227,1.35243,0.000253086,0.000253086,0.000253086
80,1242.27,0.81308,0.54946,1.1808,0.86767,0.79252,0.84142,0.63799,0.9571,0.66751,1.33897,0.000242087,0.000242087,0.000242087
81,1255.75,0.81483,0.54479,1.18214,0.85762,0.80645,0.84215,0.64925,0.93683,0.66703,1.32853,0.000231088,0.000231088,0.000231088
82,1269.27,0.80298,0.53995,1.17626,0.88886,0.79723,0.84598,0.64699,0.95084,0.67534,1.34234,0.000220089,0.000220089,0.000220089
83,1287.11,0.79848,0.53424,1.1834,0.89661,0.79803,0.8456,0.64868,0.94616,0.66728,1.32647,0.00020909,0.00020909,0.00020909
84,1304.62,0.7969,0.53686,1.16558,0.82435,0.81936,0.84,0.64895,0.9419,0.66057,1.33325,0.000198091,0.000198091,0.000198091
85,1322.03,0.80031,0.53112,1.1768,0.87967,0.79479,0.84742,0.64901,0.94499,0.65445,1.33151,0.000187092,0.000187092,0.000187092
86,1339.47,0.79754,0.53227,1.16978,0.88646,0.79483,0.84845,0.65392,0.9339,0.64638,1.32243,0.000176094,0.000176094,0.000176094
87,1356.82,0.7852,0.52385,1.16672,0.89574,0.81009,0.84769,0.65039,0.93938,0.65277,1.32656,0.000165095,0.000165095,0.000165095
88,1374.1,0.78872,0.5211,1.16497,0.8686,0.80046,0.84377,0.65127,0.93197,0.65544,1.32616,0.000154096,0.000154096,0.000154096
89,1391.63,0.78342,0.51902,1.16097,0.87346,0.7741,0.82864,0.64533,0.92211,0.65604,1.31766,0.000143097,0.000143097,0.000143097
90,1408.93,0.77446,0.51726,1.15785,0.85844,0.81445,0.84634,0.65794,0.92589,0.66037,1.32191,0.000132098,0.000132098,0.000132098
91,1440.53,0.7387,0.45324,1.1408,0.89642,0.80536,0.85372,0.65634,0.92798,0.65477,1.31526,0.000121099,0.000121099,0.000121099
92,1457.53,0.73092,0.43978,1.13662,0.88771,0.80183,0.85514,0.65813,0.9272,0.65177,1.31401,0.0001101,0.0001101,0.0001101
93,1474.43,0.72382,0.43621,1.13226,0.91379,0.79215,0.84995,0.65795,0.92173,0.63734,1.30907,9.91012e-05,9.91012e-05,9.91012e-05
94,1491.38,0.72425,0.43231,1.13606,0.84632,0.83081,0.84837,0.65627,0.90851,0.62914,1.29932,8.81023e-05,8.81023e-05,8.81023e-05
95,1509.11,0.71625,0.42818,1.13126,0.87878,0.79683,0.84982,0.66216,0.9066,0.63735,1.301,7.71034e-05,7.71034e-05,7.71034e-05
96,1526.87,0.71428,0.42505,1.12557,0.90865,0.79708,0.85623,0.66245,0.90618,0.62639,1.30122,6.61045e-05,6.61045e-05,6.61045e-05
97,1547.08,0.7117,0.42472,1.12372,0.89716,0.81352,0.85854,0.66661,0.90174,0.62153,1.29694,5.51056e-05,5.51056e-05,5.51056e-05
98,1564.74,0.70722,0.422,1.12485,0.91102,0.80215,0.85257,0.66545,0.89702,0.62759,1.29274,4.41067e-05,4.41067e-05,4.41067e-05
99,1581.62,0.71037,0.42211,1.12024,0.89298,0.80491,0.85728,0.66773,0.89759,0.61747,1.28734,3.31078e-05,3.31078e-05,3.31078e-05
100,1598.57,0.70876,0.41443,1.11922,0.88901,0.80626,0.85496,0.66977,0.89323,0.61452,1.28267,2.21089e-05,2.21089e-05,2.21089e-05
