epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8975.63,1.46323,1.17676,1.09645,0.44084,0.35625,0.35003,0.19801,1.39225,1.09282,1.0567,0.005842,0.005842,0.005842
44,9212.32,1.4643,1.1732,1.09095,0.43983,0.35393,0.34976,0.19935,1.39097,1.09387,1.05552,0.005743,0.005743,0.005743
45,9448.75,1.45871,1.16619,1.08855,0.44381,0.36331,0.35194,0.20038,1.38989,1.09239,1.05547,0.005644,0.005644,0.005644
46,9687.51,1.45242,1.16107,1.08539,0.45588,0.35677,0.35216,0.19913,1.38513,1.0878,1.05298,0.005545,0.005545,0.005545
47,9926.18,1.45212,1.15877,1.08619,0.44867,0.36167,0.35447,0.19979,1.38466,1.08773,1.05281,0.005446,0.005446,0.005446
48,10159.7,1.44787,1.15269,1.08618,0.44912,0.36439,0.35681,0.2017,1.38342,1.08205,1.05106,0.005347,0.005347,0.005347
49,10395.9,1.43909,1.14366,1.08385,0.45207,0.36463,0.35931,0.20242,1.38192,1.07805,1.05021,0.005248,0.005248,0.005248
50,10643.6,1.44037,1.1449,1.07917,0.44983,0.37049,0.35975,0.20368,1.37857,1.0769,1.04932,0.005149,0.005149,0.005149
51,10883,1.43887,1.13934,1.08276,0.45606,0.36435,0.36049,0.2049,1.37546,1.07573,1.04765,0.00505,0.00505,0.00505
52,11117,1.43566,1.13442,1.07931,0.45,0.36778,0.36032,0.20453,1.36965,1.07112,1.04557,0.004951,0.004951,0.004951
53,11352,1.4312,1.13169,1.07829,0.44913,0.36739,0.36157,0.20541,1.37433,1.06706,1.04569,0.004852,0.004852,0.004852
54,11592.1,1.43134,1.12999,1.07535,0.45796,0.36641,0.36444,0.20589,1.36848,1.06458,1.0436,0.004753,0.004753,0.004753
55,11836.4,1.42596,1.12107,1.07618,0.44973,0.37328,0.36292,0.20713,1.37026,1.06537,1.04361,0.004654,0.004654,0.004654
56,12214.6,1.42975,1.12191,1.07673,0.45421,0.37438,0.36428,0.20611,1.36248,1.06375,1.0426,0.004555,0.004555,0.004555
57,12454.6,1.425,1.11983,1.07273,0.46152,0.3691,0.36717,0.2101,1.36655,1.06011,1.0421,0.004456,0.004456,0.004456
58,12701.1,1.42052,1.11417,1.07391,0.45369,0.37705,0.36734,0.20929,1.36406,1.05654,1.04208,0.004357,0.004357,0.004357
59,12942.8,1.42209,1.11275,1.06825,0.46309,0.37363,0.3682,0.20965,1.36385,1.0573,1.04051,0.004258,0.004258,0.004258
60,13179.6,1.41409,1.10497,1.0726,0.46656,0.37001,0.36853,0.20962,1.36305,1.05366,1.04049,0.004159,0.004159,0.004159
61,13421.2,1.40981,1.10143,1.06861,0.46135,0.37633,0.36892,0.21086,1.36175,1.05597,1.03935,0.00406,0.00406,0.00406
62,13655.4,1.40859,1.09727,1.06659,0.45387,0.37828,0.3674,0.21019,1.3549,1.05114,1.03806,0.003961,0.003961,0.003961
63,13890.6,1.40708,1.09439,1.06626,0.45994,0.37237,0.37008,0.21184,1.35716,1.04972,1.03777,0.003862,0.003862,0.003862
64,14127.7,1.40948,1.09554,1.06488,0.45029,0.37846,0.36806,0.20987,1.35489,1.04892,1.03647,0.003763,0.003763,0.003763
65,14365.1,1.41143,1.09785,1.0639,0.45352,0.38022,0.37241,0.21226,1.35504,1.04539,1.03659,0.003664,0.003664,0.003664
66,14603.9,1.39994,1.08908,1.06409,0.45738,0.38399,0.37373,0.2135,1.35462,1.04522,1.0359,0.003565,0.003565,0.003565
67,14848.1,1.39897,1.0873,1.0607,0.45763,0.37975,0.37319,0.21457,1.35253,1.0444,1.03495,0.003466,0.003466,0.003466
68,15087.4,1.39865,1.08369,1.05823,0.46331,0.38028,0.37338,0.2145,1.34979,1.04148,1.03392,0.003367,0.003367,0.003367
69,15323.3,1.39013,1.07493,1.05801,0.4665,0.38043,0.37427,0.21408,1.35112,1.04078,1.03428,0.003268,0.003268,0.003268
70,15558.2,1.39481,1.07538,1.05623,0.46855,0.38168,0.37725,0.21534,1.34757,1.03645,1.03267,0.003169,0.003169,0.003169
71,15798.9,1.39691,1.07807,1.06085,0.46536,0.3861,0.37613,0.21518,1.34931,1.03799,1.03346,0.00307,0.00307,0.00307
72,16043.1,1.39809,1.07902,1.05919,0.46497,0.38397,0.37664,0.21697,1.34832,1.03747,1.03264,0.002971,0.002971,0.002971
73,16287.8,1.39044,1.07092,1.05824,0.4699,0.38356,0.37824,0.2164,1.34676,1.03471,1.03192,0.002872,0.002872,0.002872
74,16523.5,1.38171,1.06221,1.05759,0.46455,0.38398,0.37923,0.21697,1.3463,1.03275,1.03174,0.002773,0.002773,0.002773
75,16760.1,1.38773,1.06353,1.05536,0.47133,0.38104,0.37862,0.21747,1.34523,1.03202,1.03142,0.002674,0.002674,0.002674
76,16997.1,1.38975,1.06771,1.05616,0.47072,0.3837,0.38059,0.21844,1.34468,1.02988,1.03052,0.002575,0.002575,0.002575
77,17233,1.3878,1.06465,1.05385,0.46922,0.38981,0.38056,0.21778,1.34458,1.02932,1.03067,0.002476,0.002476,0.002476
