epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,982.73,1.02231,0.79388,1.32301,0.84462,0.719,0.77033,0.55623,1.14395,0.92573,1.50825,0.000660045,0.000660045,0.000660045
43,1011.99,0.99988,0.76135,1.3138,0.82025,0.69587,0.74748,0.54871,1.13691,0.94568,1.49109,0.000649046,0.000649046,0.000649046
44,1041.86,0.99421,0.77995,1.31333,0.78133,0.703,0.75367,0.54687,1.1315,0.91182,1.48615,0.000638047,0.000638047,0.000638047
45,1071.4,0.98875,0.75605,1.2986,0.80493,0.68908,0.76161,0.55248,1.12405,0.93116,1.4803,0.000627048,0.000627048,0.000627048
46,1102.24,0.9744,0.74703,1.29315,0.80861,0.72137,0.77206,0.55746,1.12391,0.89851,1.47362,0.000616049,0.000616049,0.000616049
47,1132.13,0.99502,0.74818,1.29919,0.7901,0.71248,0.75246,0.55404,1.10316,0.90412,1.4606,0.000605051,0.000605051,0.000605051
48,1161.72,0.96752,0.73251,1.28461,0.8011,0.70193,0.76128,0.56269,1.0922,0.90264,1.46282,0.000594052,0.000594052,0.000594052
49,1191.67,0.97478,0.74091,1.28469,0.75366,0.72054,0.76301,0.5573,1.10367,0.9119,1.4599,0.000583053,0.000583053,0.000583053
50,1221.94,0.97831,0.72834,1.29033,0.77335,0.70882,0.77014,0.57095,1.08617,0.89607,1.44609,0.000572054,0.000572054,0.000572054
51,1252.45,0.97632,0.74127,1.29246,0.74607,0.70349,0.75518,0.55722,1.10287,0.91042,1.46763,0.000561055,0.000561055,0.000561055
52,1283.76,0.96704,0.72317,1.27769,0.77909,0.71996,0.76989,0.56486,1.10903,0.90079,1.45499,0.000550056,0.000550056,0.000550056
53,1308.46,0.97012,0.72945,1.28056,0.79136,0.7048,0.77179,0.57149,1.09546,0.86572,1.46114,0.000539057,0.000539057,0.000539057
54,1332,0.97986,0.73123,1.28963,0.78455,0.74388,0.77773,0.57283,1.06443,0.84679,1.43152,0.000528058,0.000528058,0.000528058
55,1355.34,0.94072,0.70261,1.26365,0.77148,0.74278,0.77342,0.57026,1.07675,0.88397,1.43953,0.000517059,0.000517059,0.000517059
56,1378.66,0.95034,0.70398,1.26365,0.77249,0.72849,0.77441,0.57411,1.06068,0.8415,1.42215,0.00050606,0.00050606,0.00050606
57,1401.98,0.9479,0.6963,1.26354,0.77511,0.72368,0.7645,0.56436,1.08113,0.87618,1.45088,0.000495062,0.000495062,0.000495062
58,1425.07,0.9469,0.699,1.25733,0.81228,0.72483,0.78235,0.5792,1.0525,0.88577,1.43001,0.000484063,0.000484063,0.000484063
59,1447.99,0.93572,0.69572,1.26458,0.78853,0.75435,0.77946,0.56804,1.06094,0.85371,1.42834,0.000473064,0.000473064,0.000473064
60,1470.89,0.93252,0.69948,1.26103,0.77069,0.73668,0.76183,0.56641,1.06687,0.87042,1.42893,0.000462065,0.000462065,0.000462065
61,1493.78,0.93029,0.67472,1.23775,0.78867,0.73915,0.78696,0.58563,1.06057,0.85557,1.4313,0.000451066,0.000451066,0.000451066
62,1517.35,0.94348,0.70153,1.25647,0.80515,0.7462,0.7883,0.58905,1.0266,0.82494,1.39168,0.000440067,0.000440067,0.000440067
63,1540.42,0.92144,0.67713,1.24664,0.85109,0.73488,0.79503,0.585,1.03623,0.82283,1.40326,0.000429068,0.000429068,0.000429068
64,1563.42,0.92419,0.6829,1.24296,0.81887,0.72423,0.79073,0.58695,1.03341,0.81166,1.40024,0.000418069,0.000418069,0.000418069
65,1586.71,0.93402,0.6861,1.25527,0.82871,0.74495,0.78853,0.58793,1.02896,0.81813,1.39538,0.00040707,0.00040707,0.00040707
66,1611.13,0.92104,0.6704,1.23548,0.77997,0.74605,0.77266,0.58048,1.03733,0.81737,1.41216,0.000396071,0.000396071,0.000396071
67,1634.71,0.89788,0.65603,1.23475,0.81552,0.73805,0.79503,0.59155,1.02493,0.80415,1.40061,0.000385073,0.000385073,0.000385073
68,1657.6,0.9137,0.66506,1.2404,0.77685,0.75992,0.79586,0.59936,1.02434,0.8005,1.39094,0.000374074,0.000374074,0.000374074
69,1680.56,0.89407,0.6465,1.21954,0.80252,0.76612,0.80146,0.59997,1.01596,0.77833,1.38667,0.000363075,0.000363075,0.000363075
70,1703.55,0.90447,0.65092,1.22289,0.84364,0.72257,0.79544,0.59654,1.01711,0.79902,1.38852,0.000352076,0.000352076,0.000352076
71,1726.39,0.89014,0.63495,1.22236,0.84379,0.72861,0.79515,0.59314,1.00753,0.79907,1.37779,0.000341077,0.000341077,0.000341077
72,1749.35,0.87881,0.63636,1.21162,0.80307,0.76223,0.79627,0.59651,1.01787,0.80452,1.38974,0.000330078,0.000330078,0.000330078
73,1772.22,0.9,0.65076,1.22295,0.84653,0.7459,0.79949,0.60173,1.00175,0.7889,1.3753,0.000319079,0.000319079,0.000319079
74,1795.39,0.88222,0.64165,1.21762,0.84695,0.74387,0.80901,0.60112,1.00991,0.7626,1.37852,0.00030808,0.00030808,0.00030808
75,1818.35,0.88387,0.64202,1.22216,0.82979,0.73954,0.79695,0.59709,1.00779,0.77744,1.38713,0.000297081,0.000297081,0.000297081
76,1841.44,0.8815,0.62511,1.21666,0.81566,0.75279,0.7988,0.60287,1.01341,0.7889,1.37986,0.000286083,0.000286083,0.000286083
77,1864.53,0.88264,0.63903,1.21518,0.82463,0.76888,0.80446,0.61488,0.98895,0.77085,1.36161,0.000275084,0.000275084,0.000275084
78,1888.66,0.87545,0.62672,1.20825,0.8618,0.74008,0.80202,0.60334,1.00842,0.7829,1.37348,0.000264085,0.000264085,0.000264085
79,1912.07,0.87094,0.61581,1.199,0.82542,0.76968,0.80899,0.60777,0.99939,0.75907,1.36588,0.000253086,0.000253086,0.000253086
80,1934.75,0.86951,0.61668,1.20631,0.81652,0.77888,0.80943,0.61147,0.99299,0.75197,1.3538,0.000242087,0.000242087,0.000242087
81,1957.24,0.86327,0.60582,1.20034,0.87602,0.75094,0.8194,0.62422,0.98067,0.74192,1.35093,0.000231088,0.000231088,0.000231088
82,1979.68,0.8532,0.60805,1.19283,0.8698,0.74288,0.80741,0.61157,0.98507,0.74682,1.35708,0.000220089,0.000220089,0.000220089
83,2001.93,0.85024,0.60185,1.2045,0.83493,0.77666,0.81572,0.6174,0.9788,0.73363,1.34568,0.00020909,0.00020909,0.00020909
84,2024.21,0.86027,0.61239,1.19338,0.83318,0.77289,0.8079,0.61509,0.98563,0.73578,1.3582,0.000198091,0.000198091,0.000198091
85,2046.61,0.85667,0.60234,1.20276,0.84765,0.78845,0.82696,0.62329,0.98365,0.73974,1.3488,0.000187092,0.000187092,0.000187092
86,2068.76,0.85756,0.60523,1.19342,0.87767,0.73629,0.82106,0.6221,0.97929,0.73864,1.34949,0.000176094,0.000176094,0.000176094
87,2091.07,0.84513,0.59256,1.19145,0.81255,0.78172,0.81737,0.61745,0.9741,0.74568,1.34945,0.000165095,0.000165095,0.000165095
88,2113.39,0.84215,0.58901,1.18624,0.84516,0.77298,0.82101,0.62106,0.97129,0.7532,1.34519,0.000154096,0.000154096,0.000154096
89,2135.69,0.84039,0.58619,1.18444,0.86961,0.75965,0.81456,0.61666,0.97776,0.74259,1.35255,0.000143097,0.000143097,0.000143097
90,2158.05,0.83059,0.58209,1.18017,0.83001,0.77007,0.81652,0.61857,0.97418,0.72739,1.34246,0.000132098,0.000132098,0.000132098
91,2194.33,0.80271,0.52873,1.18382,0.88118,0.75956,0.81915,0.61857,0.97176,0.73884,1.34875,0.000121099,0.000121099,0.000121099
92,2217.75,0.79187,0.5107,1.18054,0.82674,0.78543,0.8187,0.62337,0.97395,0.72244,1.34688,0.0001101,0.0001101,0.0001101
93,2240.56,0.78855,0.50692,1.1731,0.86555,0.78361,0.82646,0.62549,0.96595,0.71872,1.33764,9.91012e-05,9.91012e-05,9.91012e-05
94,2262.58,0.78734,0.50717,1.17892,0.85003,0.77638,0.82116,0.62449,0.95995,0.70761,1.33214,8.81023e-05,8.81023e-05,8.81023e-05
95,2284.83,0.77581,0.49479,1.17227,0.86265,0.78489,0.82749,0.62755,0.96256,0.71226,1.33802,7.71034e-05,7.71034e-05,7.71034e-05
96,2306.99,0.77312,0.49272,1.16587,0.84618,0.78366,0.82545,0.62798,0.95769,0.71129,1.33566,6.61045e-05,6.61045e-05,6.61045e-05
97,2328.92,0.77249,0.49444,1.16391,0.85245,0.80254,0.82959,0.6307,0.9507,0.69925,1.32717,5.51056e-05,5.51056e-05,5.51056e-05
98,2351.09,0.76458,0.49341,1.16061,0.85753,0.79463,0.83545,0.63051,0.94887,0.70006,1.3239,4.41067e-05,4.41067e-05,4.41067e-05
99,2373.12,0.76883,0.49183,1.15924,0.87095,0.77961,0.83548,0.63414,0.94312,0.69134,1.31807,3.31078e-05,3.31078e-05,3.31078e-05
100,2395.17,0.76424,0.48355,1.15329,0.89133,0.77415,0.83303,0.63474,0.94183,0.69058,1.31183,2.21089e-05,2.21089e-05,2.21089e-05
